day,hour,spends,transactions,items
2010-01-28,18,22.54,1,7
2010-01-28,19,67.89,1,27
2010-01-28,20,178.29000000000002,3,20
2010-01-28,21,38.61,1,15
2010-01-29,14,47.260000000000005,2,24
2010-01-29,16,298.0700000000002,3,86
2010-01-29,17,44.82,1,14
2010-01-29,18,94.39999999999996,3,32
2010-01-29,19,4.67,1,1
2010-01-29,20,11.370000000000001,2,4
2010-01-29,21,135.74,2,52
2010-01-30,9,73.89,1,18
2010-01-30,12,264.44,5,76
2010-01-30,13,84.44999999999999,3,18
2010-01-30,14,111.92999999999998,6,46
2010-01-30,15,243.99000000000012,5,52
2010-01-30,16,128.25999999999996,3,37
2010-01-30,17,52.790000000000006,1,20
2010-01-30,18,40.31,2,15
2010-01-31,10,108.81000000000002,2,34
2010-01-31,11,96.94999999999995,2,31
2010-01-31,12,460.66000000000014,4,131
2010-01-31,13,75.86,2,27
2010-01-31,14,339.3600000000002,3,55
2010-01-31,15,151.68000000000004,4,39
2010-01-31,16,117.54999999999997,1,22
2010-01-31,17,65.49000000000001,2,27
2010-01-31,18,55.70000000000002,3,26
2010-01-31,19,30.020000000000003,1,11
2010-01-31,20,111.15999999999997,2,23
2010-02-01,11,7.3,1,2
2010-02-01,12,15.66,1,6
2010-02-01,13,23.569999999999993,1,14
2010-02-01,16,161.17000000000004,4,50
2010-02-01,17,15.16,1,5
2010-02-01,18,36.230000000000004,3,15
2010-02-02,12,210.01000000000005,2,65
2010-02-02,13,59.27,2,18
2010-02-02,14,198.17000000000007,4,30
2010-02-02,15,31.460000000000008,1,12
2010-02-02,16,97.60999999999996,4,41
2010-02-02,17,55.15,2,22
2010-02-02,19,31.27000000000001,1,14
2010-02-02,21,21.54,1,10
2010-02-03,10,244.65000000000006,1,50
2010-02-03,11,197.39000000000007,4,66
2010-02-03,12,197.79000000000002,3,46
2010-02-03,13,10.5,2,4
2010-02-03,14,57.40000000000001,2,11
2010-02-03,15,19.61,1,10
2010-02-03,16,92.51999999999998,2,38
2010-02-03,17,39.82,1,19
2010-02-03,18,33.32,2,4
2010-02-03,19,147.72,2,17
2010-02-03,20,155.22,2,52
2010-02-03,21,46.24,1,18
2010-02-04,9,47.13000000000001,2,13
2010-02-04,10,46.260000000000005,1,21
2010-02-04,11,5.1899999999999995,1,2
2010-02-04,12,335.1599999999999,5,42
2010-02-04,13,40.349999999999994,2,16
2010-02-04,14,40.84000000000001,1,19
2010-02-04,16,30.43999999999999,1,18
2010-02-04,17,98.6,1,33
2010-02-04,18,46.56,1,5
2010-02-04,19,11.469999999999999,1,4
2010-02-04,20,23.23,1,4
2010-02-04,21,70.82,2,23
2010-02-05,10,66.49,1,26
2010-02-05,13,37.5,1,6
2010-02-05,15,54.97,2,24
2010-02-05,16,15.049999999999999,1,5
2010-02-05,17,240.28000000000006,4,82
2010-02-05,18,92.87999999999998,2,31
2010-02-05,19,53.60999999999999,1,24
2010-02-05,21,30.440000000000005,2,7
2010-02-06,10,198.33999999999997,2,75
2010-02-06,11,59.17,2,12
2010-02-06,12,163.07999999999987,4,73
2010-02-06,13,236.92000000000007,4,68
2010-02-06,14,133.62999999999997,4,29
2010-02-06,15,84.32000000000001,1,26
2010-02-06,16,331.03000000000026,6,95
2010-02-06,17,51.68,1,15
2010-02-06,18,40.93,1,8
2010-02-06,19,312.55000000000007,5,79
2010-02-07,9,150.89000000000001,2,35
2010-02-07,11,281.42000000000013,3,101
2010-02-07,12,216.83000000000004,4,54
2010-02-07,13,16.28,1,2
